,Names
1914,Egypt
1915,Ayleen
1916,Blessing
1917,Elina
1918,Joyce
1919,Myah
1920,Zoie
1921,Christine
1922,Jaelynn
1923,Persephone
1924,Chandler
1925,Emmaline
1926,Paloma
1927,Harleigh
1928,Noor
1929,Paola
1930,India
1931,Madalynn
1932,Rosalee
1933,Florence
1934,Maliah
1935,Flora
1936,Luella
1937,Patricia
1938,Whitley
1939,Carolyn
1940,Kathleen
1941,Keily
1942,Kiana
1943,Tenley
1944,Alyson
1945,Barbara
1946,Dana
1947,Yasmin
1948,Bexley
1949,Micah
1950,Tatiana
1951,Arden
1952,Aubriella
1953,Lindsey
1954,Emani
1955,Hailee
1956,Lisa
1957,Sevyn
1958,Fallon
1959,Magdalena
1960,Tinley
1961,Halo
1962,Lailah
1963,Arlette
1964,Ansley
1965,Esperanza
1966,Cleo
1967,Aila
1968,Emerald
1969,Jaelyn
1970,Karlee
1971,Kaya
1972,Ingrid
1973,Jewel
1974,Emilee
1975,Giana
1976,Paityn
1977,Zola
1978,Amoura
1979,Renee
1980,Ann
1981,Berkley
1982,Harriet
1983,Queen
1984,Sariah
1985,Beatrix
1986,Sandra
1987,Alannah
1988,Austyn
1989,Freyja
1990,Kaylin
1991,Samira
1992,Taliyah
1993,Hadleigh
1994,Kaiya
1995,Robin
1996,Luisa
1997,Zendaya
1998,Ariadne
1999,"Dixie
"
